time,area_name,lat,lon,rr,hu,qq,tg,tx,tn,fg
2021-07-01,seine_maritime,49.65874437620977,1.0258376765981017,205.07742,82.11199,216.4896,17.688442,22.270502,13.835582,3.329804
2021-08-01,seine_maritime,49.65874437620977,1.0258376765981017,123.03871,82.705956,179.49858,16.589952,21.082996,13.036222,3.3416617
2021-09-01,seine_maritime,49.65874437620977,1.0258376765981017,94.520004,80.68188,155.67722,16.731438,22.064034,12.465101,3.1942236
2021-10-01,seine_maritime,49.65874437620977,1.0258376765981017,254.86774,85.426155,88.79339,11.883573,16.194164,8.459334,3.529959
2021-11-01,seine_maritime,49.65874437620977,1.0258376765981017,150.59,87.55604,46.50675,7.3631725,10.445662,4.693481,3.607793
2021-12-01,seine_maritime,49.65874437620977,1.0258376765981017,242.20001,88.30859,24.944057,6.943103,8.9357605,4.944744,3.898726
2022-01-01,seine_maritime,49.65874437620977,1.0258376765981017,151.76129,87.558685,35.15394,4.916092,7.652703,2.4260595,3.350351
2022-02-01,seine_maritime,49.65874437620977,1.0258376765981017,113.91786,81.764305,70.36438,7.1458764,10.202794,4.2080517,4.9408317
2022-03-01,seine_maritime,49.65874437620977,1.0258376765981017,59.419357,72.459435,134.17885,8.760241,13.296942,4.805982,3.7877376
2022-04-01,seine_maritime,49.65874437620977,1.0258376765981017,103.793335,76.37939,184.51056,9.737991,14.308755,5.4239836,4.0584054
2022-05-01,seine_maritime,49.65874437620977,1.0258376765981017,91.60645,77.04382,229.40016,13.815957,18.856998,9.136932,3.160849
2022-06-01,seine_maritime,49.65874437620977,1.0258376765981017,174.98001,76.03341,247.82278,16.7371,22.134224,11.840143,3.455447
2022-07-01,seine_maritime,49.65874437620977,1.0258376765981017,24.409676,68.776726,267.6901,19.502327,25.473001,13.597644,3.5146222
2022-08-01,seine_maritime,49.65874437620977,1.0258376765981017,20.264515,70.20861,221.31972,20.031742,25.991032,14.509474,3.3706863
2022-09-01,seine_maritime,49.65874437620977,1.0258376765981017,283.41998,79.4483,133.52954,15.282202,19.915995,11.527722,3.2354007
2022-10-01,seine_maritime,49.65874437620977,1.0258376765981017,134.5613,84.83791,85.98775,14.349563,18.210747,11.290423,3.43786
2022-11-01,seine_maritime,49.65874437620977,1.0258376765981017,365.17004,88.258316,45.07215,9.341531,12.200578,7.0818777,4.277869
2022-12-01,seine_maritime,49.65874437620977,1.0258376765981017,223.02902,88.23527,26.610046,4.455459,6.999289,2.0984075,3.5298283
2023-01-01,seine_maritime,49.65874437620977,1.0258376765981017,208.1742,86.73622,31.76807,5.842168,8.193582,3.7077012,4.1677866
2023-02-01,seine_maritime,49.65874437620977,1.0258376765981017,9.425,84.42876,70.226944,5.811619,9.277802,3.145203,3.5393128
2023-03-01,seine_maritime,49.65874437620977,1.0258376765981017,270.49356,80.705956,95.38547,8.27512,11.591171,5.401184,4.2425685
2023-04-01,seine_maritime,49.65874437620977,1.0258376765981017,187.99,80.829445,158.17256,8.978548,13.003391,5.586178,3.8162024
2023-05-01,seine_maritime,49.65874437620977,1.0258376765981017,95.716125,81.30048,228.39609,12.949772,17.466892,8.860306,3.5661042
2023-06-01,seine_maritime,49.65874437620977,1.0258376765981017,140.82333,76.17383,267.3966,18.185253,23.79316,13.103489,3.4245737
2023-07-01,seine_maritime,49.65874437620977,1.0258376765981017,270.32904,77.887314,209.30298,17.63075,22.402655,13.54826,4.0989056
2023-08-01,seine_maritime,49.65874437620977,1.0258376765981017,237.53549,81.85848,185.39528,17.725214,22.265133,14.138555,3.5597672
2023-09-01,seine_maritime,49.65874437620977,1.0258376765981017,148.48334,81.188774,149.03882,18.458979,23.630281,14.309162,3.2449198
2023-10-01,seine_maritime,49.65874437620977,1.0258376765981017,220.38065,82.579765,85.00246,13.639843,18.126852,10.203238,3.6331525
2023-11-01,seine_maritime,49.65874437620977,1.0258376765981017,446.37,87.35183,38.584385,8.787742,11.328012,6.591021,4.353641
2023-12-01,seine_maritime,49.65874437620977,1.0258376765981017,188.45807,87.18711,25.13883,7.7290077,9.833744,5.6883545,4.345484
2024-01-01,seine_maritime,49.65874437620977,1.0258376765981017,174.26129,83.565216,39.935078,4.184969,7.0452833,1.6501878,4.0866437
2024-02-01,seine_maritime,49.65874437620977,1.0258376765981017,275.7276,88.57974,44.452206,8.737673,11.0688,6.7014747,4.4775906
2024-03-01,seine_maritime,49.65874437620977,1.0258376765981017,152.37097,83.72473,103.71131,8.614921,12.477484,5.53775,3.8077743
2024-04-01,seine_maritime,49.65874437620977,1.0258376765981017,154.77,79.12129,157.53798,10.46509,14.345054,7.074616,4.082485
2024-05-01,seine_maritime,49.65874437620977,1.0258376765981017,235.8742,84.26128,185.26704,13.580775,17.797579,10.179485,3.103928
2024-06-01,seine_maritime,49.65874437620977,1.0258376765981017,95.81667,80.46175,228.02783,14.856507,19.473328,10.591587,3.4441473
2024-07-01,seine_maritime,49.65874437620977,1.0258376765981017,190.84839,78.20755,205.83504,17.901482,22.80094,13.749841,3.4226665
2024-08-01,seine_maritime,49.65874437620977,1.0258376765981017,113.535484,78.63784,192.12454,18.57153,23.68158,14.447783,3.3271863
2024-09-01,seine_maritime,49.65874437620977,1.0258376765981017,324.93,84.20418,118.729965,14.9844,18.954714,11.853839,3.4624727
2024-10-01,seine_maritime,49.65874437620977,1.0258376765981017,200.97098,88.6048,75.36587,12.714895,16.032036,10.02969,3.192838
